experience_level,salary,remote_ratio,company_size
MI,145000,0,M
MI,115000,0,M
SE,160000,0,M
SE,120000,0,M
SE,104000,100,M
SE,80000,100,M
SE,290970,0,M
SE,166230,0,M
SE,225000,0,M
SE,156400,0,M
SE,168400,0,M
SE,105200,0,M
SE,257000,0,M
SE,187200,0,M
SE,198800,0,M
SE,122600,0,M
SE,154170,0,M
SE,104830,0,M
SE,294000,0,M
SE,196000,0,M
SE,140000,100,L
SE,180000,100,L
SE,232000,100,L
SE,170000,0,M
SE,140000,0,M
SE,170000,0,M
SE,140000,0,M
SE,216450,0,M
SE,123750,0,M
SE,150000,0,M
SE,100000,0,M
SE,140000,100,M
SE,120000,100,M
SE,175000,100,M
SE,135000,100,M
EX,324000,100,M
EX,189000,100,M
SE,135000,100,M
SE,80000,100,M
EN,130000,0,M
EN,100000,0,M
EX,170000,0,M
EX,120000,0,M
SE,317000,0,M
SE,198000,0,M
MI,226350,0,M
MI,164500,0,M
SE,282000,0,M
SE,176000,0,M
SE,198800,100,M
SE,122600,100,M
SE,103000,0,M
SE,76000,0,M
SE,130000,0,M
SE,105000,0,M
SE,370000,0,M
SE,200000,0,M
SE,135000,0,M
SE,115000,0,M
SE,120350,0,M
SE,74400,0,M
SE,180000,0,M
SE,140000,0,M
SE,300000,0,M
SE,130000,0,M
EN,60000,50,M
EN,60000,50,M
SE,170000,0,M
SE,140000,0,M
MI,145000,0,M
MI,115000,0,M
SE,144000,100,M
SE,77600,100,M
SE,181500,0,M
SE,112200,0,M
MI,150000,100,M
MI,100000,100,M
SE,225500,0,M
SE,139400,0,M
SE,210550,0,M
SE,153300,0,M
SE,178448,0,M
SE,135960,0,M
SE,352000,0,M
SE,220000,0,M
MI,140000,0,M
MI,100000,0,M
SE,220000,0,M
SE,200000,0,M
SE,150000,0,M
SE,100000,0,M
SE,170000,0,M
SE,140000,0,M
EN,100000,0,M
EN,90000,0,M
SE,200000,100,M
SE,120000,100,M
SE,135000,100,L
SE,60000,100,L
SE,195000,0,S
SE,85000,0,S
MI,180000,100,M
MI,120000,100,M
SE,211295,0,M
SE,169036,0,M
SE,123000,0,M
SE,83000,0,M
SE,220000,0,M
SE,160000,0,M
SE,152900,0,M
SE,117700,0,M
SE,170000,0,M
SE,120000,0,M
EX,209000,100,M
EX,200000,100,M
SE,120350,0,M
SE,74400,0,M
