,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_size
0,2022,EN,FT,Security Manager,63000,US,50,S
1,2022,MI,FT,Security Analyst,95000,US,0,M
2,2022,MI,FT,Security Analyst,70000,US,0,M
5,2022,EX,FT,Security Architect,315000,US,100,L
6,2022,SE,FT,Security Researcher,220000,US,100,M
7,2022,SE,FT,Security Researcher,140000,US,100,M
10,2021,EN,FT,Security Specialist,50000,US,0,S
11,2022,SE,FT,Security Specialist,85000,US,100,L
12,2022,MI,FT,Security Consultant,90000,US,100,L
13,2022,EN,FT,Security Specialist,50000,US,0,S
14,2022,EX,FT,Security Director,290000,US,100,L
15,2021,EX,FT,Security Director,232000,US,100,L
16,2022,EX,FT,Security Director,244000,US,100,L
17,2022,EN,FT,Incident Response,112000,US,100,L
18,2022,EN,FT,Security Analyst,72000,US,100,L
23,2022,MI,FT,DevSecOps,152000,US,0,M
24,2022,MI,FT,DevSecOps,91000,US,0,M
26,2022,MI,FT,Security Engineer,207000,US,100,L
28,2022,MI,FT,Vulnerability Management,115000,US,100,L
30,2022,EN,FT,Security Analyst,52000,US,100,L
31,2022,SE,FT,Security Engineer,237000,US,100,L
32,2021,EN,FT,Security Architect,150000,US,50,M
33,2022,SE,FT,Security Manager,110000,US,0,L
34,2022,EN,FT,Security Analyst,104000,US,100,L
35,2021,EN,FT,Security Analyst,75000,US,0,M
36,2022,SE,FT,DevSecOps,165000,US,100,L
37,2022,SE,FT,Penetration Tester,190000,US,100,L
38,2022,SE,FT,Threat Intelligence,135000,US,100,L
40,2022,MI,FT,Chief Information Security Officer,97900,US,50,L
41,2022,SE,FT,Security Analyst,90000,US,100,S
42,2021,SE,FT,Security Consultant,175000,US,100,L
43,2022,MI,FT,Security Analyst,89998,US,0,L
44,2022,MI,FT,Security Specialist,150000,US,100,L
45,2022,MI,FT,Security Analyst,115000,US,100,L
46,2022,MI,FT,Chief Information Security Officer,135000,US,50,L
47,2022,EX,FT,Security Manager,102000,US,50,L
48,2022,SE,FT,Penetration Tester,108000,US,100,L
49,2022,SE,FT,Security Consultant,200000,US,100,M
51,2022,EN,FT,Security Analyst,50000,US,0,S
52,2022,SE,FT,DevSecOps,157000,US,0,M
53,2022,SE,FT,DevSecOps,108000,US,0,M
